Food Group,Calcium ,Fats ,Fiber ,Vitamin C,Potassium ,Protein ,Sodium ,Sugars ,Water 
Dairy and Grains,0.184435567,5.562448187,6.025989673,0.008265077,0.23946134,9.382113402,0.317112113,14.61897036,30.94153351
Fats and Prepared Foods,0.078096211,16.24949973,2.635948645,0.008180409,0.195311565,5.180794016,0.507172483,18.06711511,45.12758115
Fruits and Vegetables,0.054718272,2.554491582,3.670151515,0.02123794,0.349681728,5.448218813,0.169865781,6.565055388,74.39792027
Meat and Eggs,0.028428387,13.42334486,5.260869565,0.001504789,0.313435289,21.93087182,0.270003883,2.70559322,60.75039707
